Time,AcX,AcY,AcZ
11:46:16.823,-0.01,0.01,1.01
11:46:16.918,-0.01,-0.00,1.00
11:46:17.010,-0.01,-0.00,1.01
11:46:17.104,-0.01,-0.00,1.01
11:46:17.197,-0.01,-0.00,0.99
11:46:17.338,-0.01,0.01,1.00
11:46:17.431,-0.02,0.00,1.00
11:46:17.524,-0.01,0.00,1.00
11:46:17.617,-0.01,0.00,1.00
11:46:17.710,-0.01,0.00,1.01
11:46:17.804,-0.01,0.01,1.01
11:46:17.943,-0.01,0.00,0.99
11:46:18.036,-0.01,0.00,1.00
11:46:18.130,-0.02,0.00,1.00
11:46:18.224,-0.01,0.00,1.00
11:46:18.317,-0.01,-0.00,1.00
11:46:18.409,-0.02,0.00,1.00
11:46:18.549,-0.01,0.00,1.00
11:46:18.642,-0.01,0.00,1.00
11:46:18.736,-0.01,0.00,0.99
11:46:18.831,-0.01,0.00,1.00
11:46:18.924,-0.01,0.00,1.00
11:46:19.018,-0.01,0.00,1.00
11:46:19.160,-0.01,0.00,1.00
11:46:19.254,-0.01,0.00,1.01
11:46:19.345,-0.02,-0.00,1.01
11:46:19.437,-0.01,0.00,1.00
11:46:19.530,-0.02,0.00,1.00
11:46:19.624,-0.01,-0.00,1.00
11:46:19.763,-0.01,0.01,0.99
11:46:19.858,-0.02,0.01,1.01
11:46:19.951,-0.00,0.01,1.00
11:46:20.045,-0.01,0.01,1.01
11:46:20.136,-0.02,0.00,1.00
11:46:20.230,-0.02,0.00,1.00
11:46:20.370,-0.02,0.00,1.00
11:46:20.463,-0.02,-0.00,1.00
11:46:20.556,-0.01,-0.00,1.00
11:46:20.650,-0.02,0.00,1.00
11:46:20.742,-0.02,0.00,1.00
11:46:20.834,-0.01,0.00,0.99
11:46:20.974,-0.01,0.01,0.99
11:46:21.067,-0.01,0.00,1.00
